id	ownerInstitutionCode	basisOfRecord	catalogNumber	recordedBy	individualCount	lifeStage	behavior	year	month	day	fieldNotes	eventRemarks	country	stateProvince	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceVerificationStatus	scientificName	genus	vernacularName
	Endangered Wildlife Trust	HumanObservation	23	Mark van Niekerk	1	Adult	Unknown	2005	9	15	CH1		South Africa	Eastern Cape	Unknown		-30.85111	28.21222	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	25	Doug Newman	2	Adult	Flying	2005	8	5	Close to a dam	Pair	South Africa	Western Cape	Unknown		-32.43056	22.45556	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	26	Bradley Gibbons	47	Adult	Unknown	2005	6	30	Close to a mielie land		South Africa	Eastern Cape	Unknown		-31.69306	25.44611	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	27	Bradley Gibbons + Leon	2	Adult	Feeding	2005	2	15	Close to a power line	Pair	South Africa	Northern Cape	Unknown		-30.86333	24.34778	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	28	Bradley Gibbons + Leon	45	Adult	Feeding	2005	2	15	Close to a power line	Flock (single species)	South Africa	Northern Cape	Unknown		-30.86694	24.01222	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	29	Bradley Gibbons	4	Adult	Unknown	2005	4	25	Close to lands with Agave		South Africa	Eastern Cape	Unknown		-32.09444	24.64722	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	30	Bradley Gibbons	64	Adult	Flying	2005	8	18	Close to lucerne land		South Africa	Eastern Cape	Unknown		-32.68917	23.45778	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	31	Bradley Gibbons	15	Adult	Feeding	2005	3	31	Close to the dam	Flock (single species)	South Africa	Eastern Cape	Unknown		-31.91000	24.82611	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	32	Bradley Gibbons	2	Adult	Feeding	2005	10	21	Close to the other pair - but on the other side of the road	Pair	South Africa	Eastern Cape	Unknown		-31.89694	24.81028	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	33	Bradley Gibbons	19	Adult	Unknown	2005	3	31	Close to the others	Flock (single species)	South Africa	Eastern Cape	Unknown		-31.88972	24.79806	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	34	Bradley Gibbons & Ronelle Visagie	3	Adult	Flying	2005	10	12	Close to the power line		South Africa	Northern Cape	Unknown		-30.71583	24.66528	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	35	Bradley Gibbons & Ronelle Visagie	2	Adult	Unknown	2005	10	12	Close to the water trough and sheep	Pair	South Africa	Northern Cape	Unknown		-30.81333	24.71944	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	36	Bradley Gibbons	3	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-31.72694	25.43417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	37	Bradley Gibbons	4	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-31.72694	25.43417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	38	Bradley Gibbons	5	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-31.72694	25.43417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	39	Bradley Gibbons	6	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-31.72694	25.43417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	40	Bradley Gibbons	9	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-31.72694	25.43417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	41	Bradley Gibbons	11	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-31.72694	25.43417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	42	Bradley Gibbons	15	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-31.72694	25.43417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	43	Bradley Gibbons	16	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-31.72694	25.43417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	44	Bradley Gibbons	27	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-31.72694	25.43417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	45	Bradley Gibbons	68	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-31.72694	25.43417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	46	Owner	90	Adult	Feeding	2005	3	10	Co-ordinates are for the farm and not the exact area where the birds were seen	Flock (single species)	South Africa	Eastern Cape	Unknown		-32.78083	26.11000	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	47	Handre Viljoen	204	Adult	Roosting	2005	7	14	co-ordinates not accurate		South Africa	Northern Cape	Unknown		-31.39444	24.18472	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	48	Tim de Jongh	125	Adult	Unknown	2005	10	4	Co-ordinates not accurate		South Africa	Eastern Cape	Unknown		-31.23056	28.16111	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	49	Handre Viljoen	202	Adult	Feeding	2005	6	6	Co-ordinates not accurate, as he saw these throughout the farm		South Africa	Northern Cape	Unknown		-31.39444	24.18472	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
