id	ownerInstitutionCode	basisOfRecord	catalogNumber	recordedBy	individualCount	lifeStage	behavior	year	month	day	fieldNotes	eventRemarks	country	stateProvince	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceVerificationStatus	scientificName	genus	vernacularName
	Endangered Wildlife Trust	HumanObservation	7638	Unknown	2	Adult	Feeding	1991	1	18		Pair	South Africa	KwaZulu-Natal	Unknown		-2.923.833	2.976.500	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7639	Unknown	3	Adult	Feeding	1991	12	12		Pair	South Africa	KwaZulu-Natal	Unknown		-2.948.500	2.979.833	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7640	Unknown	2	Adult	Feeding	1995	3	8		Pair	South Africa	KwaZulu-Natal	Unknown		-2.948.833	2.979.833	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7641	Unknown	2	Adult	Feeding	1991	8	15	Grassland at edge of dam	Pair	South Africa	KwaZulu-Natal	Unknown		-2.955.000	2.986.500	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7642	Unknown	2	Adult	Feeding	1991	7	22		Pair	South Africa	KwaZulu-Natal	Unknown		-2.954.333	2.986.500	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7643	Unknown	2	Adult	Feeding	1995	9	16		Pair	South Africa	KwaZulu-Natal	Unknown		-2.927.639	3.024.861	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7644	Unknown	2	Adult	Feeding	1995	12	6		Pair	South Africa	KwaZulu-Natal	Unknown		-2.925.833	2.968.194	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7645	Unknown	2	Adult	Feeding	1996	4	18		Pair	South Africa	KwaZulu-Natal	Unknown		-2.924.722	2.969.861	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7646	Unknown	2	Adult	Feeding	1995	4	21		Pair	South Africa	KwaZulu-Natal	Unknown		-2.922.361	2.978.194	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7647	Unknown	2	Adult	Feeding	1991	12	24		Pair	South Africa	KwaZulu-Natal	Unknown		-2.925.500	2.978.250	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7648	Unknown	2	Adult	Feeding	1995	6	2		Pair	South Africa	KwaZulu-Natal	Unknown		-2.945.750	2.984.917	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7649	Unknown	2	Adult	Feeding	1991	12	12	Feeding/resting	Pair	South Africa	KwaZulu-Natal	Unknown		-2.950.417	2.981.639	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7650	Unknown	2	Adult	Feeding	1995	1	10		Pair	South Africa	KwaZulu-Natal	Unknown		-2.948.583	2.983.306	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7652	Unknown	2	Adult	Flying	1995	4	25	Grassland - flew	Pair	South Africa	KwaZulu-Natal	Unknown		-2.926.667	2.970.250	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7653	Unknown	2	Adult	Flying	1995	5	9		Pair	South Africa	KwaZulu-Natal	Unknown		-2.920.083	2.982.083	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7654	Unknown	2	Adult	Flying	1995	5	29		Pair	South Africa	KwaZulu-Natal	Unknown		-2.941.250	2.995.556	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7655	Unknown	2	Adult	Flying	1991	9	20	Flew from Melmoth direction into grassland & chased Blues away	Pair	South Africa	KwaZulu-Natal	Unknown		-2.927.000	3.024.083	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7656	Unknown	2	Adult	Flying	1995	4	21	Grassland - flew	Pair	South Africa	KwaZulu-Natal	Unknown		-2.926.250	3.026.111	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7657	Unknown	2	Adult	Unknown	1995	4	20	"Powerline overhead; court dance"	Pair	South Africa	KwaZulu-Natal	Unknown		-2.926.750	3.004.583	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7658	Unknown	2	Adult	Unknown	1997	7	22		Pair	South Africa	KwaZulu-Natal	Unknown		-2.945.694	2.992.917	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7659	Unknown	2	Adult	Unknown	1995	10	5		Pair	South Africa	KwaZulu-Natal	Unknown		-2.966.944	2.991.528	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7660	Unknown	2	Adult	Unknown	1991	12	21		Pair	South Africa	KwaZulu-Natal	Unknown		-2.949.722	2.980.000	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7661	Unknown	2	Adult	Unknown	1994	7	24		Pair	South Africa	KwaZulu-Natal	Unknown		-2.946.806	2.985.139	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7662	Richard	2	Adult	Unknown	1997	6	19	Highlands	Pair	South Africa	KwaZulu-Natal	Unknown		-2.983.444	2.940.167	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7663	Richard	2	Adult	Unknown	1997	6	19	Highlands	Pair	South Africa	KwaZulu-Natal	Unknown		-2.984.222	2.938.611	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	KwaZulu-Natal Crane Foundation	HumanObservation	7664	Lisa	2	Adult	Unknown	1995	9	11		Pair	South Africa	KwaZulu-Natal	Unknown		-2.927.222	2.966.944	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7666	Unknown	1	Adult	Feeding	1995	12	6		Single	South Africa	KwaZulu-Natal	Unknown		-2.922.639	2.980.000	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7667	Unknown	1	Adult	Feeding	1996	4	17		Single	South Africa	KwaZulu-Natal	Unknown		-2.930.417	3.002.639	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7668	Unknown	1	Adult	Feeding	1995	5	14		Single	South Africa	KwaZulu-Natal	Unknown		-2.927.083	2.969.583	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7669	Unknown	1	Adult	Feeding	1995	3	28		Single	South Africa	KwaZulu-Natal	Unknown		-2.941.333	2.994.833	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7670	Unknown	2	Adult	Breeding	1991	8	18	"Breeding (1 collected); vlei at edge of dam"		South Africa	KwaZulu-Natal	Unknown		-2.966.833	2.991.667	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7671	Unknown	2	Adult	Breeding	1991	7	19	Breeding?		South Africa	KwaZulu-Natal	Unknown		-2.935.694	3.023.472	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7673	Unknown	3	Adult	Breeding	1991	8	25	"(egg addled); Not sitting"		South Africa	KwaZulu-Natal	Unknown		-2.941.250	2.995.667	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7674	Unknown	3	2 Adults, 1 Juvenile	Breeding	1995	5	21	Breeding?		South Africa	Free State	Unknown		-2.764.167	2.957.500	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7675	Unknown	3	2 Adults, 1 Juvenile	Breeding	1995	6	30	Breeding (on eggs)		South Africa	KwaZulu-Natal	Unknown		-2.948.472	2.981.250	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7676	Unknown	2	Adult	Breeding	1995	8	30	"Nest; 1 egg"		South Africa	KwaZulu-Natal	Unknown		-2.941.250	2.999.667	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7677	Unknown	2	Adult	Feeding	1995	2	15	Chick lost?		South Africa	KwaZulu-Natal	Unknown		-2.946.333	3.000.000	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7678	Unknown	3	2 Adults, 1 Juvenile	Feeding	1996	10	11	Fledged		South Africa	KwaZulu-Natal	Unknown		-2.995.833	2.941.667	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7679	Unknown	2	Adult	Feeding	1996	8	6			South Africa	KwaZulu-Natal	Unknown		-2.993.333	2.946.667	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7680	Unknown	1	Adult	Feeding	1991	11	13	No chick		South Africa	KwaZulu-Natal	Unknown		-2.959.500	2.993.333	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7681	Unknown	2	Adult	Feeding	1991	12	12			South Africa	KwaZulu-Natal	Unknown		-2.947.333	2.983.361	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7682	Unknown	3	2 Adults, 1 Juvenile	Feeding	1991	12	16	"2/3 days old; green grassland next to dam"		South Africa	KwaZulu-Natal	Unknown		-2.947.028	3.000.083	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7683	Unknown	3	2 Adults, 1 Juvenile	Feeding	1997	6	23			South Africa	Mpumalanga	Unknown		-2.529.528	3.015.083	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7684	Unknown	3	2 Adults, 1 Juvenile	Feeding	1995	4	6	Bred		South Africa	KwaZulu-Natal	Unknown		-2.946.083	2.993.417	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7685	Unknown	3	2 Adults, 1 Juvenile	Feeding	1997	2	11			South Africa	Mpumalanga	Unknown		-2.528.667	3.015.111	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7686	Unknown	2	Adult	Feeding	1991	7	2	Nonbreeding pair		South Africa	KwaZulu-Natal	Unknown		-2.926.667	2.966.806	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7687	Unknown	3	2 Adults, 1 Juvenile	Feeding	1995	7	17			South Africa	Mpumalanga	Unknown		-2.528.694	3.015.167	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7688	Unknown	2	Adult	Feeding	1991	9	10	(chick still in vlei)		South Africa	KwaZulu-Natal	Unknown		-2.923.500	3.018.500	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7689	Unknown	2	Adult	Feeding	1995	12	6			South Africa	Mpumalanga	Unknown		-2.529.722	3.013.528	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7690	Unknown	1	Adult	Feeding	1997	6	19			South Africa	Mpumalanga	Unknown		-2.527.500	3.015.194	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7691	Unknown	2	Adult	Feeding	1995	8	28			South Africa	KwaZulu-Natal	Unknown		-2.934.722	3.000.278	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7692	Unknown	1	Adult	Feeding	1997	2	3			South Africa	Mpumalanga	Unknown		-2.559.722	3.010.278	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7693	Unknown	3	Adult	Feeding	1996	8	17			South Africa	KwaZulu-Natal	Unknown		-3.001.389	2.930.278	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7694	Unknown	1	Juvenile	Feeding	1995	4	7	Juvenile		South Africa	KwaZulu-Natal	Unknown		-2.930.000	3.002.000	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7695	Unknown	2	Adult	Feeding	1995	6	5			South Africa	Mpumalanga	Unknown		-2.527.944	3.013.667	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7696	Unknown	2	Adult	Feeding	1995	6	16			South Africa	Mpumalanga	Unknown		-2.527.944	3.013.667	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7697	Unknown	3	2 Adults, 1 Juvenile	Feeding	1995	12	15			South Africa	KwaZulu-Natal	Unknown		-2.937.917	2.987.000	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7698	Unknown	1	Adult	Feeding	1997	2	3			South Africa	Mpumalanga	Unknown		-2.559.806	3.010.361	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7699	Unknown	2	Juvenile	Feeding	1996	5	31			South Africa	KwaZulu-Natal	Unknown		-2.930.833	3.002.083	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7700	Unknown	3	Adult	Feeding	1996	1	14			South Africa	KwaZulu-Natal	Unknown		-2.930.278	2.978.750	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7701	Unknown	1	Adult	Feeding	1995	7	29	Nest? - top umgeni?		South Africa	KwaZulu-Natal	Unknown		-2.948.194	2.982.083	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7702	Unknown	3	Adult	Feeding	1991	7	31			South Africa	KwaZulu-Natal	Unknown		-2.930.667	3.002.167	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7703	Unknown	2	Adult	Feeding	1991	8	14			South Africa	KwaZulu-Natal	Unknown		-2.935.333	2.992.250	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7704	Unknown	2	Adult	Feeding	1996	1	17			South Africa	KwaZulu-Natal	Unknown		-2.926.944	2.975.694	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7705	Unknown	3	2 Adults, 1 Juvenile	Feeding	1995	6	13			South Africa	KwaZulu-Natal	Unknown		-2.930.278	2.980.694	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7706	Unknown	2	Adult	Feeding	1996	1	24			South Africa	KwaZulu-Natal	Unknown		-2.941.667	2.999.028	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7707	Unknown	3	2 Adults, 1 Juvenile	Feeding	1995	5	19	1 month old		South Africa	KwaZulu-Natal	Unknown		-2.926.667	3.004.167	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7708	Unknown	3	2 Adults, 1 Juvenile	Feeding	1991	9	29	Hatched		South Africa	KwaZulu-Natal	Unknown		-2.940.917	2.995.833	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7709	Unknown	1	Adult	Feeding	1995	5	27	Other sitting		South Africa	KwaZulu-Natal	Unknown		-2.941.111	2.995.833	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7710	Unknown	3	2 Adults, 1 Juvenile	Feeding	1995	10	25			South Africa	Mpumalanga	Unknown		-2.559.444	3.009.194	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7711	Unknown	2	Adult	Feeding	1997	8	11			South Africa	Mpumalanga	Unknown		-2.557.083	3.072.667	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7712	Unknown	2	Adult	Feeding	1991	7	21	Chick?		South Africa	KwaZulu-Natal	Unknown		-2.951.250	2.984.417	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7713	Unknown	3	2 Adults, 1 Juvenile	Feeding	1996	6	26			South Africa	KwaZulu-Natal	Unknown		-2.981.944	2.921.111	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	KwaZulu-Natal Crane Foundation	HumanObservation	7714	Lisa	2	Adult	Feeding	1996	1	30			South Africa	KwaZulu-Natal	Unknown		-2.925.417	2.976.111	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7715	Unknown	2	Adult	Feeding	1995	9	26	Off nest		South Africa	KwaZulu-Natal	Unknown		-2.940.556	2.996.111	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7716	Unknown	3	2 Adults, 1 Juvenile	Feeding	1995	4	22	Nest?		South Africa	Free State	Unknown		-2.762.722	2.957.889	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7717	Unknown	2	Adult	Feeding	1995	12	15			South Africa	KwaZulu-Natal	Unknown		-2.929.861	3.002.917	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7718	Unknown	3	2 Adults, 1 Juvenile	Feeding	1996	9	14			South Africa	KwaZulu-Natal	Unknown		-2.995.417	2.941.250	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7719	Unknown	3	2 Adults, 1 Juvenile	Feeding	1991	11	8			South Africa	Mpumalanga	Unknown		-2.730.278	3.051.250	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7720	Unknown	3	2 Adults, 1 Juvenile	Feeding	1995	9	26			South Africa	KwaZulu-Natal	Unknown		-2.941.250	2.999.583	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7721	Unknown	2	Adult	Feeding	1991	2	4	Grassland at dam egde		South Africa	KwaZulu-Natal	Unknown		-2.927.583	3.004.667	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7722	Unknown	3	2 Adults, 1 Juvenile	Feeding	1995	1	12	11 weeks old		South Africa	KwaZulu-Natal	Unknown		-2.967.250	2.991.333	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7723	Unknown	1	Adult	Feeding	1997	5	8			South Africa	Mpumalanga	Unknown		-2.542.806	3.014.694	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7724	Unknown	3	Adult	Feeding	1996	1	14	Feeding with Blue Cranes in grassland		South Africa	KwaZulu-Natal	Unknown		-2.929.028	2.979.722	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7725	Unknown	2	Adult	Feeding	1996	7	30			South Africa	Mpumalanga	Unknown		-2.538.556	3.006.417	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7726	Unknown	3	2 Adults, 1 Juvenile	Feeding	1995	6	17			South Africa	Mpumalanga	Unknown		-2.528.389	3.016.417	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7727	Unknown	1	Adult	Feeding	1995	4	13	Flew to next location		South Africa	KwaZulu-Natal	Unknown		-2.948.833	2.979.750	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7728	Unknown	1	Adult	Feeding	1991	8	14	"Breeding  (1 egg); 1M"		South Africa	KwaZulu-Natal	Unknown		-2.940.750	2.994.750	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7729	Unknown	3	2 Adults, 1 Juvenile	Feeding	1997	6	23			South Africa	Mpumalanga	Unknown		-2.538.167	3.006.444	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7730	Unknown	2	Adult	Feeding	1991	10	18	Nest? - top umgeni?		South Africa	KwaZulu-Natal	Unknown		-2.927.500	3.023.167	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7731	Unknown	3	Juvenile	Feeding	1997	7	23			South Africa	KwaZulu-Natal	Unknown		-2.930.139	3.001.528	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7732	Unknown	3	Juvenile	Feeding	1997	7	23			South Africa	KwaZulu-Natal	Unknown		-2.980.139	3.001.528	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7733	Unknown	3	2 Adults, 1 Juvenile	Feeding	1996	10	11	Fledged		South Africa	KwaZulu-Natal	Unknown		-3.001.389	2.933.194	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7734	Unknown	2	Adult	Feeding	1997	4	6			South Africa	KwaZulu-Natal	Unknown		-2.923.750	2.969.861	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7735	Unknown	1	Adult	Feeding	1997	2	3			South Africa	Mpumalanga	Unknown		-2.536.694	3.011.611	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7736	Unknown	3	2 Adults, 1 Juvenile	Feeding	1991	10	6	6-7 weeks		South Africa	KwaZulu-Natal	Unknown		-2.960.833	2.993.278	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7742	Unknown	3	2 Adults, 1 Juvenile	Flying	1996	6	27			South Africa	Mpumalanga	Unknown		-2.555.361	3.010.083	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7743	Unknown	3	2 Adults, 1 Juvenile	Flying	1996	4	1			South Africa	KwaZulu-Natal	Unknown		-2.922.361	3.018.472	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7744	Unknown	1	Adult	Flying	1995	4	10			South Africa	KwaZulu-Natal	Unknown		-2.929.444	3.024.444	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7745	Unknown	3	Adult	Flying	1991	4	2			South Africa	KwaZulu-Natal	Unknown		-2.929.667	2.981.333	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7746	Unknown	3	Adult	Unknown	1995	5	29	Grassland		South Africa	KwaZulu-Natal	Unknown		-2.928.611	3.001.722	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7747	Unknown	2	Adult	Unknown	1995	4	25			South Africa	KwaZulu-Natal	Unknown		-2.925.833	3.025.556	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7748	Unknown	2	Adult	Unknown	1997	10	14			South Africa	Mpumalanga	Unknown		-2.560.056	3.010.583	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7749	Unknown	2	Adult	Unknown	1995	5	14	Collected second egg		South Africa	KwaZulu-Natal	Unknown		-2.937.083	2.973.056	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7750	Unknown	2	Adult	Unknown	1995	5	10	Resting		South Africa	KwaZulu-Natal	Unknown		-2.966.944	2.991.528	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7752	Unknown	3	2 Adults, 1 Juvenile	Unknown	1995	2	17	"1 chick - about 2 mnths old (new nest?); Green grassland on top of ridge around vlei"		South Africa	KwaZulu-Natal	Unknown		-2.949.417	2.982.750	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7753	McKenzie	3	2 Adults, 1 Juvenile	Feeding	1997	5	28	Maize / Potatoes - seen for tha last 2 months	Family group	South Africa	KwaZulu-Natal	Unknown		-2.945.278	2.995.000	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7754	Unknown	3	2 Adults, 1 Juvenile	Feeding	1994	11	1		Family group	South Africa	KwaZulu-Natal	Unknown		-2.960.833	3.000.417	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7755	Unknown	3	Adult	Feeding	1996	1	1		Family group	South Africa	KwaZulu-Natal	Unknown		-2.919.028	3.055.417	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	7756	Unknown	3	2 Adults, 1 Juvenile	Feeding	1997	11	30		Family group	South Africa	KwaZulu-Natal	Unknown		-2.924.444	2.969.028	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
