id	ownerInstitutionCode	basisOfRecord	catalogNumber	recordedBy	individualCount	lifeStage	behavior	year	month	day	fieldNotes	eventRemarks	country	stateProvince	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceVerificationStatus	scientificName	genus	vernacularName
	Endangered Wildlife Trust	HumanObservation	21	Bradley Gibbons + Leon	2	Adult	Unknown	2005	2	15	By a water trough	Pair	South Africa	Northern Cape	Unknown		-3.105.167	2.440.028	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	22	Ronelle Visagie	2	Adult	Feeding	2005	10	27	Calling to above mentioned pairs	Pair	South Africa	Northern Cape	Unknown		-3.047.889	2.462.611	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	23	Mark van Niekerk	1	Adult	Unknown	2005	9	15	CH1		South Africa	Eastern Cape	Unknown		-3.085.111	2.821.222	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	25	Doug Newman	2	Adult	Flying	2005	8	5	Close to a dam	Pair	South Africa	Western Cape	Unknown		-3.243.056	2.245.556	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	26	Bradley Gibbons	47	Adult	Unknown	2005	6	30	Close to a mielie land		South Africa	Eastern Cape	Unknown		-3.169.306	2.544.611	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	27	Bradley Gibbons + Leon	2	Adult	Feeding	2005	2	15	Close to a power line	Pair	South Africa	Northern Cape	Unknown		-3.086.333	2.434.778	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	28	Bradley Gibbons + Leon	45	Adult	Feeding	2005	2	15	Close to a power line	Flock (single species)	South Africa	Northern Cape	Unknown		-3.086.694	2.401.222	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	29	Bradley Gibbons	4	Adult	Unknown	2005	4	25	Close to lands with Agave		South Africa	Eastern Cape	Unknown		-3.209.444	2.464.722	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	30	Bradley Gibbons	64	Adult	Flying	2005	8	18	Close to lucerne land		South Africa	Eastern Cape	Unknown		-3.268.917	2.345.778	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	31	Bradley Gibbons	15	Adult	Feeding	2005	3	31	Close to the dam	Flock (single species)	South Africa	Eastern Cape	Unknown		-3.191.000	2.482.611	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	32	Bradley Gibbons	2	Adult	Feeding	2005	10	21	Close to the other pair - but on the other side of the road	Pair	South Africa	Eastern Cape	Unknown		-3.189.694	2.481.028	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	33	Bradley Gibbons	19	Adult	Unknown	2005	3	31	Close to the others	Flock (single species)	South Africa	Eastern Cape	Unknown		-3.188.972	2.479.806	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	34	Bradley Gibbons & Ronelle Visagie	3	Adult	Flying	2005	10	12	Close to the power line		South Africa	Northern Cape	Unknown		-3.071.583	2.466.528	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	35	Bradley Gibbons & Ronelle Visagie	2	Adult	Unknown	2005	10	12	Close to the water trough and sheep	Pair	South Africa	Northern Cape	Unknown		-3.081.333	2.471.944	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	36	Bradley Gibbons	3	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-3.172.694	2.543.417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	37	Bradley Gibbons	4	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-3.172.694	2.543.417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	38	Bradley Gibbons	5	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-3.172.694	2.543.417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	39	Bradley Gibbons	6	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-3.172.694	2.543.417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	40	Bradley Gibbons	9	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-3.172.694	2.543.417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	41	Bradley Gibbons	11	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-3.172.694	2.543.417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	42	Bradley Gibbons	15	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-3.172.694	2.543.417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	43	Bradley Gibbons	16	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-3.172.694	2.543.417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	44	Bradley Gibbons	27	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-3.172.694	2.543.417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	45	Bradley Gibbons	68	Adult	Flying	2005	8	19	Coming into roost on the dam		South Africa	Eastern Cape	Unknown		-3.172.694	2.543.417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	46	Owner	90	Adult	Feeding	2005	3	10	Co-ordinates are for the farm and not the exact area where the birds were seen	Flock (single species)	South Africa	Eastern Cape	Unknown		-3.278.083	2.611.000	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	47	Handre Viljoen	204	Adult	Roosting	2005	7	14	co-ordinates not accurate		South Africa	Northern Cape	Unknown		-3.139.444	2.418.472	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	48	Tim de Jongh	125	Adult	Unknown	2005	10	4	Co-ordinates not accurate		South Africa	Eastern Cape	Unknown		-3.123.056	2.816.111	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
